"address","totalTxs","totalVolume"
"0x00d29fbc981d05edba69bc0909e391a132271357","9","140159.00777"
"0x00d3133dcacaf0480fcebcc8c50ebb66923d2b18","4","18507.29812"
"0x00d6faa42d5d50e70a9ecd1489b2060c6b697f3e","2","32826.38678"
"0x00dacfd769bc30e4f64805761707573cb710552c","5","3400.95595"
"0x00db854ed1366f73d28dd89a85c9e481ddd85328","17","111736.43067"
"0x00dc591dcf57341c6fe4ad1ecf565b50f9059c27","2","5433.06361"
"0x00de3a8bdee6e682c3509d66a947d05a8ca797af","2","1048.99608"
"0x00df3231f973d9bba9df848b2fb690405b5b8888","2","2214.25548"
"0x00e114bac8962f24e05d78ede81e01678c2a3b82","5","29680.69739"
"0x00e421ba23dbe6a165255be382f46fcb927f8951","3","7155.84473"
"0x00e78b49640f53a78d867e689772f08eb6a82809","53","166225.36792"
"0x00e9bd9097f92c6d1b2f27339dcce452c3c5b006","5","1929.48863"
"0x00ea9e43c49663798e9e761607389012d9649808","6","7734.93302"
"0x00ef54d0d095e0670fca52521a812d99ad9f4166","2","5781.35374"
"0x00f00f762642a80adaad42cea2e669f46f46659f","2","1807.01905"
"0x00f00fa5ba62e19615bbf759b7155de7ba96f27b","14","12528.8024"
"0x00f09f87a2e15c9666f37ad48c01e180e66381ed","6","41486.29154"
"0x00f27eaf33ba371d079b70659c3a1bc453bff001","12","2289.84844"
"0x00f2fd2150906fb8f7746fe637c84e75343a75ac","9","103287.1928"
"0x00f751780e7399e3053ed118ec6b163986aa1855","2","15759.58795"
"0x00f7f1e3c29ca2ba610039e98b80c819f212600c","2","1332.08948"
"0x00f93a9d497a9c9ffdbcd209d0515c73614487d6","6","2564.38449"
"0x00f96d4f0b1d60ba66b32663835f4e28438344c7","2","5674.54175"
"0x00fd8e2c936e10e4aba83924302f5396c66e21b1","3","1806.70192"
"0x00ffd801d711a8a96904f95a28367e38ce257452","2","9074.5994"
"0x0102ec17e06441ff32b5400bfe060f6e4cdbc947","5","13783.02117"
"0x0103a4966daba5a947df52b0b892d8b3fdef5a4f","3","4925.11172"
"0x010413711ca012525bb1fd053d2fb70dcfd933b3","3","64691.33828"
"0x0108629008815c81f9fcd116a3a0d20053fcef46","2","7432.73827"
"0x010873f793dce73526a2e75f98bce09f7bcb6af4","2","3226.64389"
"0x010f65b81729935e9ab113f5083c3aa3cb6a6fa2","8","2800.31512"
"0x010f998e32ed72ce124866d85aaf4acb257c5116","5","1508.89987"
"0x0111dcc6fc2df10b1145fdcfed2bcf1b1c00de91","6","2747.12368"
"0x0117bede5cdacd59f92fda9fa28c3da930dbf6bf","2","3407.01646"
"0x01190aa8018b9f31c652c90240cf7142d96cf76a","6","65583.37546"
"0x012430f934bc381d9f59a28ea34363bce170353d","3","2330.30265"
"0x01250d8f351401bc0b5030d71f4837dbe3c112e2","10","1436.29537"
"0x012556f150f1c84096667e1c823259cd2813ccda","24","4541.68399"
"0x01280480bf9fd7c5991c7d5b7ef829ce7878a315","6","5484.13108"
"0x012a00b9ceeb51659f889656ea85accb2b229903","2","2024.40927"
"0x012b38ccb3ae97a32cd24088bf9426d4ee5442d3","28","163190.23068"
"0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e","2","7489.86685"
"0x013040bcc92ca0bec2670d61f06da7c36678222a","2","2687.71829"
"0x0132701b3763a9bcc5cc880d9d05194552f9ebba","2","6029.52538"
"0x0134be4f188803e6bd7cf053842d730be3d5af02","7","1535.01295"
"0x0136df5810284ecbd2cb7e218cf31222d6a04668","4","2166.28304"
"0x013cc394844aa993d73ca9a08d89dd6d046f3bcc","4","4679.29395"
"0x013e0a9ac418ca71de2b3b8ae7b67fbd13f2ab4a","9","10379.52262"
"0x013fb7fef023646bf4e76cb756206a742f31813e","3","14763.60395"
"0x014271934e9ed4ac94c84425cd1e0e03b0b32053","2","1278.57125"
"0x01429f3cdfa27f95ee82e65280c5ce82372f1488","2","4645.3739"
"0x014607f2d6477badd9d74bf2c5d6356e29a9b957","8","1753.48926"
"0x0146476498f3efbe217adcf8371b45f40fc01421","2","2095.05549"
"0x01485557c2bc6e26c7187ff4cc38d5d9474405d4","12","6842.38157"
"0x0148eec414f55ccaec608bd7b23bce91c3200250","2","1169.49784"
"0x014aff2efa0368668e6f9917696a9b2f7257126a","2","23975.33014"
"0x014bc97132bfd1594ec22d47825ce4bdaf2e0f06","17","2181.14312"
"0x014dcb68229580320f22154d58fdf761abc9c993","7","1459.32448"
"0x0150d9b5ed9de91c360d758c06a5d2a0058be228","7","2588.91993"
"0x015122a625b45f68e6d795c0ab99fc7107e4c3b9","12","5177.3504"
"0x0154d25120ed20a516fe43991702e7463c5a6f6e","2","3144.99182"
"0x015516e6d176c01c606bf0a6f4ee3a65f5ea1324","3","8658.57679"
"0x0159dfc1c745dc4b10d42d2592335120f1f2d778","3","20021.65034"
"0x015df768ec74575220ae993d84dd03b9f6ead253","4","1024.14788"
"0x015e3c3241cbf2ed2445e8fb381398afe9f3fc0a","3","1010.58373"
"0x015ec1fa097ece8cadb1fcb8fafdd3b953b02e49","2","1026.49664"
"0x0161d1cc10116bb2a073a0c293d5e4f1a97a00b6","10","2453.35223"
"0x016677f3a6208c9b136040dc57f7ebc9bc9af7bc","11","2266.44594"
"0x01699b4e5f5f049ef33a61626029ddd198cc6b97","4","1525.02863"
"0x016a678d81897cf17521499502038829de0cfe1d","2","1295.40528"
